Contract ID,Customer,Annual Premium
G200000,White-Smith,83347.89
G200001,Rodney Ramos,77102.87
G200002,"Campbell, Hawkins and Johnson",20483.03
G200003,Mcbride and Sons,160029.4
G200004,Long and Sons,396507.22
G200005,"Ashley, Rose and Fowler",244614.94
G200006,Morales Group,365819.88
G200007,Young-Ferguson,163086.95
G200008,Harris Group,378525.11
G200009,Jason Bennett,380256.25
G200010,Wilson Ltd,418189.21
G200011,Cory Mata,28809.84
G200012,Rachel Jones,53003.85
G200013,Reeves-Steele,165570.34
G200014,Green-Cook,486301.8
G200015,Thomas Inc,406268.24
G200016,Smith Group,313183.96
G200017,"Davis, Hunter and Collins",295722.4
G200018,"Rodriguez, Morgan and Howard",11738.8
G200019,Cory Brown,145141.87
G200020,Lewis LLC,252338.02
G200021,Sweeney LLC,157959.75
G200022,Smith-Cook,459712.01
G200023,Gray Group,58426.33
G200024,Alvarado-Moss,63018.07
G200025,Fowler-Burke,64551.38
G200026,"Reynolds, Turner and Warren",165196.81
G200027,Kane Inc,451077.25
G200028,Makayla Mcdonald,427040.97
G200029,Moody Group,273342.05
G200030,"Johnson, Hudson and Day",424401.41
G200031,Smith-Keller,312401.86
G200032,Soto PLC,258369.56
G200033,Smith Ltd,369043.23
G200034,Chan-Graves,122409.07
G200035,Fowler Ltd,47201.62
G200036,King-Jackson,31129.54
G200037,Moore Group,135561.95
G200038,"Velazquez, Murphy and Smith",164235.36
G200039,"Hunt, Lewis and Kim",375613.33
G200040,Bryant LLC,150013.61
G200041,Smith LLC,486989.35
G200042,"Marks, Vargas and Dominguez",17969.7
G200043,Garcia-Vargas,279911.13
G200044,Chaney Ltd,129091.02
G200045,John Walker,9050.43
G200046,"Medina, Farrell and Bradley",389031.24
G200047,Mary Gomez,100371.02
G200048,Hanson-King,35040.18
G200049,Courtney Stewart,461366.04
G200050,Jackson Ltd,302637.75
G200051,Amber Velazquez,76646.19
G200052,"Rhodes, Reed and Miller",330838.56
G200053,Lane PLC,305559.94
G200054,Bauer and Sons,93937.87
G200055,Gutierrez PLC,179227.21
G200056,Roach and Sons,115296.67
G200057,Michael Williams,275999.25
G200058,"Wilson, Brady and Smith",167780.42
G200059,Peter Haas,170152.39
G200060,"White, Johnson and Nielsen",167063.57
G200061,Zuniga-Williams,258199.2
G200062,"Nguyen, Scott and Charles",300629.68
G200063,Robertson-Wright,168004.45
G200064,"Hunter, Miller and Summers",12255.51
G200065,Gibson-Jimenez,228330.43
G200066,Jonathan Campbell,453420.11
G200067,"Owens, Nichols and Walker",455078.56
G200068,Rowe-Hensley,50417.89
G200069,Natasha Oliver,87161.5
G200070,Wang Group,230848.43
G200071,"House, Cruz and Mullins",311211.02
G200072,Amanda Warner,73878.32
G200073,Ortiz and Sons,29498.98
G200074,Richmond PLC,328822.46
G200075,Taylor-Mcgrath,442767.92
G200076,Meredith Tate,240125.43
G200077,Rosales-Sawyer,53044.12
G200078,Harper-Watson,418075.99
G200079,Brenda Cox,37194.03
G200080,Gregory Buchanan,363513.66
G200081,Waller-Hernandez,362236.93
G200082,Phillips LLC,77798.63
G200083,"Simmons, Houston and Stone",52782.82
G200084,Melissa Francis,14941.13
G200085,Jonathan Solomon,66618.14
G200086,Paula Miller,267632.01
G200087,Henderson and Sons,355440.0
G200088,"Rojas, Wallace and Shaw",483035.35
G200089,"Bruce, Lee and Ward",313490.42
G200090,Phillip Lewis,304920.76
G200091,"Rocha, Edwards and Leon",498012.62
G200092,Wilcox LLC,76262.53
G200093,"Anthony, Carroll and Schneider",393185.3
G200094,Morris-Valencia,22479.19
G200095,Barber and Sons,209769.18
G200096,Jordan and Sons,84277.25
G200097,Ferrell LLC,336394.55
G200098,Sandra Mooney,188023.31
G200099,Morgan and Sons,297433.03
G200100,"Ferguson, White and Lutz",459360.17
G200101,Edward Hill,183301.92
G200102,Murphy-Dickson,420805.31
G200103,Daniel-Fitzgerald,91297.53
G200104,Hamilton LLC,418396.38
G200105,"Hall, Wallace and Snow",115108.64
G200106,Brandi Bennett,265896.58
G200107,Lopez-Mack,193376.69
G200108,Acosta-Johnson,413356.32
G200109,Evans-Stout,155330.26
G200110,Jesse Henderson,147283.27
G200111,Hale-Lopez,173296.49
G200112,Theresa Decker,72102.01
G200113,Amy Aguilar,496682.84
G200114,"Rice, Lee and Gray",58347.56
G200115,Farrell PLC,407288.59
G200116,Charles Baker MD,9937.26
G200117,"White, Moore and Barrett",237595.57
G200118,Sheena Hicks,357814.35
G200119,White-Scott,149458.95
G200120,Adams-Rosario,437266.15
G200121,Miller LLC,324724.7
G200122,Heather Coleman,369365.05
G200123,Hardin LLC,186438.17
G200124,Williams Group,237809.68
G200125,"Grimes, Webb and Grant",61662.41
G200126,Carol Turner,368610.97
G200127,"Huffman, Frye and Woods",76622.0
G200128,"Cisneros, Gaines and Foster",47206.08
G200129,"Hill, Dunn and Reyes",18977.64
G200130,Bennett-Rivers,316061.5
G200131,Barbara Estes,204045.02
G200132,Catherine Michael,338822.94
G200133,Joshua Alvarado,80385.04
G200134,Smith-Phillips,443254.41
G200135,Lopez-Johnson,492438.72
G200136,Woodard-Thornton,406448.93
G200137,Richard Nelson,242644.12
G200138,Richard Gray,494008.81
G200139,Jackson-Walker,34268.66
G200140,Bryant-Friedman,146796.45
G200141,Novak-Lawson,111518.01
G200142,Cox Ltd,114956.61
G200143,Green and Sons,415121.63
G200144,Mann-Quinn,126752.08
G200145,Park Ltd,64227.11
G200146,Potts Group,372348.94
G200147,Jose Jones,36136.42
G200148,Alex Smith,379847.87
G200149,"Hill, Henry and Benjamin",3438.27
G200150,Mark Huff,349415.55
G200151,Yang-Green,369350.76
G200152,Shannon-Horton,11306.91
G200153,Gomez-Fletcher,345545.81
G200154,Tucker-Williams,436890.71
G200155,"Benton, Hoover and White",249972.83
G200156,Baker Ltd,369926.46
G200157,Charles Moss,166897.91
G200158,Miller-Torres,271282.87
G200159,Moore LLC,90169.45
G200160,Hayley Blackwell,206452.46
G200161,"James, Daniels and Tapia",323265.75
G200162,Bennett Inc,457489.05
G200163,Cameron-Whitehead,382104.08
G200164,Cook-Smith,28390.82
G200165,"French, Roman and Knox",313297.38
G200166,Allen LLC,361768.92
G200167,Washington LLC,424110.15
G200168,Misty Wiley,487126.08
G200169,Johnson-Robinson,330365.38
G200170,David-Green,464217.11
G200171,Samuel Russell,192673.06
G200172,Michael Hill,412851.04
G200173,Heather Perez,326281.34
G200174,Walker Ltd,206726.96
G200175,"Allen, Murphy and Warner",209555.21
G200176,Richard Brown,444022.3
G200177,Roberts Group,156803.87
G200178,Moon-White,470266.03
G200179,Robinson Inc,264686.52
G200180,Calderon-Dominguez,192000.08
G200181,Williams-Bautista,306899.81
G200182,Travis Turner,241469.26
G200183,Thomas Inc,374439.55
G200184,Stephanie Johnson,496995.18
G200185,"Campbell, Johnson and Alexander",22182.91
G200186,Whitehead Ltd,207950.6
G200187,"Montoya, Henderson and Mcdonald",480763.47
G200188,"Guerrero, Hooper and Rodriguez",31040.01
G200189,Wong Group,390670.89
G200190,Compton-Bright,265584.62
G200191,"Jenkins, Hunter and Porter",345021.66
G200192,Green-Butler,146230.11
