Policy No,Client Name,Premium
L100000,Brittany Myers,155093.93
L100001,Brandon Washington,158712.92
L100002,Heather Morris,220218.17
L100003,Brian Moore,121451.14
L100004,Christopher Carlson,241223.79
L100005,Jessica Bautista,183032.1
L100006,Renee Newton,95291.24
L100007,Richard Robertson,132075.03
L100008,Scott Baker,203433.47
L100009,Jeremy Young,51061.74
L100010,Michael Davis,90863.76
L100011,Joanna Ramirez,182130.25
L100012,Brandon Rosario,83362.65
L100013,Lisa Lawrence,14392.79
L100014,Mikayla Baker,14505.21
L100015,Christopher Kim,108512.01
L100016,Raymond Woods,105923.88
L100017,Thomas Nash,77554.23
L100018,Patricia Smith,221802.49
L100019,Raven Hernandez,23077.91
L100020,Derek Oconnor,201522.13
L100021,Tara Ayala,132287.73
L100022,Benjamin Schmidt,106989.32
L100023,Michael Zuniga,168615.03
L100024,Tammy Green,214067.81
L100025,Julia Duran,35134.83
L100026,Kurt Griffin,171255.55
L100027,Cheryl Kennedy,107213.13
L100028,Jared Davis,99673.33
L100029,Ernest Kelley,65639.63
L100030,Lance Thomas,59301.99
L100031,Brenda Aguilar,73433.78
L100032,Joshua Lawrence,167301.07
L100033,Sandra Douglas,203842.69
L100034,Jerry Vaughn,93939.13
L100035,Taylor Rice,210788.21
L100036,Kevin Chavez,58192.53
L100037,Donna Clark,246283.95
L100038,Caleb Hall,34933.3
L100039,Brenda Klein MD,23413.03
L100040,Justin Gonzalez,14750.75
L100041,Tara Torres,221993.15
L100042,Samantha Pope,227631.39
L100043,Jacob James,139066.88
L100044,David Holmes,142478.46
L100045,William Dixon,101808.27
L100046,Kenneth Berry,117538.92
L100047,James Schmidt,18199.45
L100048,Kimberly Nelson,6764.75
L100049,Mr. Joseph Matthews MD,62956.69
L100050,Amanda Harris,215550.53
L100051,Cindy Sanchez,151502.97
L100052,Cindy Lucas,184697.78
L100053,Wesley Livingston,6790.48
L100054,Mike Gillespie,243856.25
L100055,Kristin Cervantes,179927.17
L100056,John Fisher,21707.21
L100057,Jennifer Elliott,9590.45
L100058,Richard Fowler,193946.77
L100059,Shawna Frederick,164638.9
L100060,Cory Austin,35149.02
L100061,Jessica Holmes,78968.5
L100062,Megan Warner,196873.34
L100063,Charles Alvarez,242396.37
L100064,Samantha Larson,96693.64
L100065,Jessica Hall,185014.85
L100066,Emily Nguyen,104675.26
L100067,Amy Barnes,50898.37
L100068,Timothy Watson,212156.0
L100069,Gregory Cummings,193921.75
L100070,Joe Nichols,121746.81
L100071,Mary Allen,27262.42
L100072,Sandra Rodriguez,189938.54
L100073,Allison Howard,207817.14
L100074,Brandon Mitchell,213873.6
L100075,Jack Fields,10652.67
L100076,Stacey Morris,70383.48
L100077,Kimberly Rodriguez,42955.63
L100078,Sara Hunt,228554.45
L100079,Patrick Miller,162676.35
L100080,Shane Lopez,25183.89
L100081,Diana Bennett,174321.27
L100082,Jennifer Tran,191811.14
L100083,Kelly Phillips MD,144395.14
L100084,Sara Deleon,168855.12
L100085,Jason Wheeler,238775.56
L100086,Kimberly Vang,31772.29
L100087,Wayne Shannon,244690.24
L100088,Linda Johnson,129512.82
L100089,Patrick Hayes,161287.79
L100090,Travis Horton,77510.57
L100091,Thomas Hicks,56768.27
L100092,Joan Wilson,213787.31
L100093,Stacey Moore,65108.37
L100094,Matthew Lee,6070.81
L100095,Alyssa Rodriguez,203387.48
L100096,Keith Lee,23442.97
L100097,Patrick Martin,30964.0
L100098,Catherine Davis,134580.26
L100099,Robert Fisher,40510.99
L100100,Mike Bass,46352.68
L100101,Gina Brady MD,123359.2
L100102,John Neal,56877.79
L100103,Peter Gibson,67509.33
L100104,Joseph Robinson,64745.92
L100105,Lawrence Macias,38115.16
L100106,Mark Holt,36754.92
L100107,Eric Ruiz,206425.22
L100108,Gina Garner,70652.76
L100109,Vincent Martinez,224591.35
L100110,Luis Ramirez,15386.62
L100111,Monica Thompson,181459.74
L100112,Jason Johnson,41444.33
L100113,Theresa Hopkins,168712.01
L100114,Jessica Carrillo,39988.87
L100115,Robert Mills,106657.83
L100116,Richard Reynolds,242236.27
L100117,Donald Black,241128.0
L100118,Derek Davis,100834.64
L100119,Brandy Smith,99113.06
L100120,Patricia Rosales,18791.5
L100121,Michelle Wolfe,168249.15
L100122,Jennifer Hudson,244129.64
L100123,George Miranda,90225.52
L100124,Joseph Perez,215266.95
L100125,Dillon Frost,247645.51
L100126,Robert Morales,33148.77
L100127,Timothy Powers,217723.3
L100128,John Taylor,173972.29
L100129,Jeremy Thompson,93393.69
L100130,Christopher Woods,145520.33
L100131,Tracy Williams,173427.2
L100132,Nicholas Hughes,115233.68
L100133,Ashley Osborn,56270.55
L100134,Paul Smith,24854.38
L100135,Michelle Atkins,173114.43
L100136,Jessica Simmons,170692.01
L100137,Megan Nelson,215935.79
L100138,Michael Taylor,58113.14
L100139,Kristen Richardson,245681.45
L100140,Mr. Scott Stephens,27508.46
L100141,Hector Fields,99735.12
L100142,Jeremiah Parsons,186567.68
L100143,Tyler Chambers,173421.56
L100144,Vincent Brown,170008.18
L100145,Travis Gates,133049.61
L100146,Richard Mullins,80365.82
L100147,Pamela Alvarez,63433.49
L100148,Ronald Frye,237627.95
L100149,Alexander Perkins,173516.55
L100150,Dylan Roberts,134982.2
L100151,Tommy White,227506.61
L100152,Cynthia Berg,96432.81
L100153,Shannon Gillespie,225909.62
L100154,Eric Cruz Jr.,138578.51
L100155,Richard Reid,36278.25
L100156,Victor Bradley,197745.62
L100157,Chad Anderson,234835.54
L100158,Steven Savage,150122.58
L100159,Carlos Johnson,94093.21
L100160,Anthony Mccarty,154755.46
L100161,Mariah Salazar,86090.63
L100162,Benjamin Ramirez,28015.24
L100163,Lauren Buck,71442.5
L100164,Paige Garza,45971.99
L100165,Gregory Lewis,36646.71
L100166,Mary Collins,222510.86
L100167,Jamie Montes,193013.93
L100168,Lisa Lowe,150704.55
L100169,Michelle Hughes,129278.41
L100170,Jeremy Meyers,186721.32
L100171,Ashley Brown,91342.19
L100172,Courtney Jackson,58111.2
L100173,Nicholas Ferguson,222078.42
L100174,William Johnson,160849.71
L100175,Nicole Wright,167121.2
L100176,Anna Miller,120021.84
L100177,Amanda Conner,8627.77
L100178,Andrew Brown,45305.84
L100179,Caitlin Delgado,117398.13
L100180,Carol Humphrey,122285.3
L100181,Benjamin Raymond,183524.1
L100182,Sarah Dixon,108548.44
L100183,Keith Soto,138085.33
L100184,Dennis Cross,203839.96
L100185,Tara Skinner,126294.61
L100186,Jay Martinez,72302.92
L100187,Rachael Thompson,168622.45
L100188,Kathryn Davis,192863.24
L100189,Amy Sutton,205493.84
L100190,James Mooney,212051.33
L100191,Lori Carter,195666.2
L100192,Tiffany Price,210919.85
L100193,James Taylor,19525.43
L100194,James Newton,244951.03
L100195,Carlos Clark,149100.92
L100196,James Stewart,121356.62
L100197,William Olson,242207.25
L100198,Michael Howard,236691.75
L100199,Katherine Pittman,228230.47
L100200,Kevin Nielsen,90947.84
L100201,Ricardo Scott,23526.46
L100202,Brenda Gardner,240781.96
L100203,Amber Roberts,10700.4
L100204,Susan Bowen,154075.77
L100205,Janet Rivas,189369.63
L100206,Steven Olson,206840.31
L100207,Kenneth Green,218662.13
L100208,William Smith,235636.89
L100209,Charles Foster,42789.28
L100210,Taylor Trevino DDS,181219.27
L100211,Tiffany Mitchell,241092.76
L100212,Michael Nash,223011.19
L100213,Shelby Martinez,168375.69
L100214,Tyler Scott,50675.37
L100215,Alex Coleman,232294.92
L100216,Rachel Williams,12854.14
L100217,Cathy Morris,6213.63
L100218,Isaac Mcknight,101165.53
L100219,Tracy Peck DVM,102690.53
L100220,Christine Davila,232161.3
L100221,Brian Williams,163689.71
L100222,Brittany Davenport,20502.11
L100223,Michael Mcgee,14178.76
L100224,Amy Mcintyre,135141.37
L100225,Julie Johnson,106074.67
L100226,Gabrielle Ward,46256.53
L100227,Mark Wilson,169662.45
L100228,Kaitlyn Woodard,108485.01
L100229,Anthony Wong,138032.79
L100230,Chad Dominguez,37452.35
L100231,Richard Beard,84310.18
L100232,Justin Perez,245452.47
L100233,Peter Wood,62704.34
L100234,Marie Morris,234953.69
L100235,Alan Webb,112164.95
L100236,Deborah Perez,53969.8
L100237,James Jimenez,107686.21
L100238,Dale Russell,152700.33
L100239,John Martin,148546.75
L100240,Shirley Simon,69816.71
L100241,Brian Dickerson,136412.94
L100242,Mary Whitaker,152463.88
L100243,Grant Flores,71560.55
L100244,Cynthia Green,19890.28
L100245,Daniel Pugh,46982.33
L100246,Kimberly Warner,241527.61
L100247,David Brady,60150.58
L100248,Perry Schmidt,63692.37
L100249,Nicholas Phillips,124203.5
L100250,Jasmine Harvey,201188.46
L100251,Jason Garza,155857.93
L100252,Steven Smith,71173.85
L100253,Spencer West,8890.75
L100254,David Williams,156011.9
L100255,Ian Shepherd,77063.14
L100256,William Williams,231853.69
L100257,Angela Baker,72567.94
L100258,Aaron Cunningham,234549.03
L100259,Misty Dillon,21981.78
L100260,Robin Patrick,152310.23
L100261,Jason Edwards,124771.17
L100262,Ruben Dawson,194521.16
L100263,Shane Green,210916.65
L100264,Kathy Jones,137381.22
L100265,Robert Alexander,92472.94
L100266,Jermaine Wagner,53015.89
L100267,Linda Mendoza,128786.18
L100268,Brittney Gonzalez,95385.96
L100269,Gary Miller,86755.06
L100270,Sarah Henry,74054.29
L100271,Vincent Olsen,119953.42
L100272,Allison Joyce,97713.97
L100273,Jennifer Sanchez,222108.86
L100274,Mr. Wesley Hamilton,191190.63
L100275,Emma King DDS,87230.43
L100276,Christopher Gay,36746.28
L100277,Tracy Hernandez,175320.3
L100278,Kelly Neal,76144.79
L100279,Paul Williams,38251.42
L100280,Thomas Foster,124999.18
L100281,Henry Leon,242767.51
L100282,Roger Rowe,70955.7
L100283,John Webster,89698.76
L100284,Kenneth Webb,16049.4
